함종,함번 코드,함번번호,전체함번,함명,함급,기공,진수,인수,취역,퇴역,건조사,소속,운용상태,비고
구축함,DDH,975.0,DDH-975,충무공이순신,충무공이순신급,2001-7-2,2002-5-22,-,2003-12-2,-,대우조선해양,제71기동전대,현역,
구축함,DDG,991.0,DDG-991,세종대왕,세종대왕급,2006-5-30,2007-5-25,-,2008-12-22,-,현대중공업,제71기동전대,현역,
호위함,FF,961.0,FF-961,청주,울산급,-,-,-,1992-12-02,-,-,제2함대,현역,구형
호위함,FFG,811.0,FFG-811,인천,인천급,-,-,-,2013-01-16,-,-,제2함대,현역,현행
고속함,PKG,711.0,PKG-711,윤영하,윤영하급,2006-10-26,2007-06-28,-,2008-12-17,-,한진중공업,제2함대,현역,유도탄고속함
고속함,PKG,723.0,PKG-723,홍시욱,윤영하급,-,-,-,2013-10-10,-,STX조선해양,제2함대,현역,유도탄고속함
대형상륙함,LPH,6111.0,LPH-6111,독도,독도급,2002-10,2005-07-12,2007-07-02,2007-07-03,-,한진중공업,제53상륙전대,성능개량 중(2025.07~2027 예정),"2027년 성능개량 완료 예정, 해군 기함"
전차상륙함,LST,682.0,LST-682,비로봉,고준봉급,-,1996-12-18,1997-11-27,1997-12-01,-,대한조선공사,제53상륙전대,현역(함령 30년+),
기뢰탐색함,MHC,561.0,MHC-561,강경,강경급,-,1986-08-30,1986-12-19,1986-12-22,-,강남조선,제52기뢰전대,현역(함령 40년+),국산 함정 최초 40년 이상 운용 기록
소해함,MSH,571.0,MSH-571,양양,양양급,-,1999-02-25,1999-12-29,1999-12-31,-,강남조선,제52기뢰전대,현역(함령 25년+),세계 최대 FRP 선박(60m급)
군수지원함,AOE,57.0,AOE-57,천지,천지급,1989-08-17,1990-07-26,1990-12-29,1991-01-04,-,현대중공업,제77기동군수전대,현역(함령 35년+),최초 국산 군수지원함
잠수함구조함,ASR,21.0,ASR-21,청해진,청해진급,-,1995-10-18,1996-11-30,1996-12-02,-,대우중공업,해난구조전대,현역(함령 30년+),"첫 국산 구조함, 무장 미탑재(국제조약)"
고속정,PKM,329.0,PKM-329,참수리 329,참수리급,-,-,-,-,-,-,제1함대,현역,
훈련함,ATH,81.0,ATH-81,한산도,한산도급,2018-03,2018-11-16,2020-10-21,2020-10-22,-,HD현대중공업,해군교육사령부 실습전대,현역,"해군 최초 전용 훈련함, 순항훈련전단 전담"
상륙정,LCU,82.0,LCU-82,물개 82,물개급(79급),-,-,-,-,-,코리아타코마,-,현역,
